global_index,file,local_index,key
335,E288/E228-400-5Q6.csv,0,E288/E228-400-5Q6/0
336,E288/E228-400-5Q6.csv,1,E288/E228-400-5Q6/1
337,E288/E228-400-5Q6.csv,2,E288/E228-400-5Q6/2
338,E288/E228-400-5Q6.csv,3,E288/E228-400-5Q6/3
339,E288/E228-400-6Q7.csv,0,E288/E228-400-6Q7/0
340,E288/E228-400-6Q7.csv,1,E288/E228-400-6Q7/1
341,E288/E228-400-6Q7.csv,2,E288/E228-400-6Q7/2
342,E288/E228-400-6Q7.csv,3,E288/E228-400-6Q7/3
343,E288/E228-400-6Q7.csv,4,E288/E228-400-6Q7/4
344,E288/E228-400-6Q7.csv,5,E288/E228-400-6Q7/5
345,E288/E228-400-7Q8.csv,0,E288/E228-400-7Q8/0
346,E288/E228-400-7Q8.csv,1,E288/E228-400-7Q8/1
347,E288/E228-400-7Q8.csv,2,E288/E228-400-7Q8/2
348,E288/E228-400-7Q8.csv,3,E288/E228-400-7Q8/3
349,E288/E228-400-7Q8.csv,4,E288/E228-400-7Q8/4
350,E288/E228-400-7Q8.csv,5,E288/E228-400-7Q8/5
351,E288/E228-400-7Q8.csv,6,E288/E228-400-7Q8/6
352,E288/E228-400-8Q9.csv,0,E288/E228-400-8Q9/0
353,E288/E228-400-8Q9.csv,1,E288/E228-400-8Q9/1
354,E288/E228-400-8Q9.csv,2,E288/E228-400-8Q9/2
355,E288/E228-400-8Q9.csv,3,E288/E228-400-8Q9/3
356,E288/E228-400-8Q9.csv,4,E288/E228-400-8Q9/4
357,E288/E228-400-8Q9.csv,5,E288/E228-400-8Q9/5
358,E288/E228-400-8Q9.csv,6,E288/E228-400-8Q9/6
359,E605/E605-10.5Q11.5.csv,0,E605/E605-10.5Q11.5/0
360,E605/E605-10.5Q11.5.csv,1,E605/E605-10.5Q11.5/1
361,E605/E605-10.5Q11.5.csv,2,E605/E605-10.5Q11.5/2
362,E605/E605-10.5Q11.5.csv,3,E605/E605-10.5Q11.5/3
363,E605/E605-10.5Q11.5.csv,4,E605/E605-10.5Q11.5/4
364,E605/E605-10.5Q11.5.csv,5,E605/E605-10.5Q11.5/5
365,E605/E605-10.5Q11.5.csv,6,E605/E605-10.5Q11.5/6
366,E605/E605-10.5Q11.5.csv,7,E605/E605-10.5Q11.5/7
367,E605/E605-10.5Q11.5.csv,8,E605/E605-10.5Q11.5/8
368,E605/E605-10.5Q11.5.csv,9,E605/E605-10.5Q11.5/9
369,E605/E605-11.5Q13.5.csv,0,E605/E605-11.5Q13.5/0
